ID,Predicted Value
1,14
2,14
3,10
4,10
5,7
6,0
7,10
8,10
9,14
10,14
11,10
12,14
13,10
14,14
15,0
16,14
17,14
18,14
19,14
20,10
21,10
22,10
23,10
24,10
25,14
26,10
27,14
28,10
29,10
30,10
31,10
32,10
33,10
34,14
35,10
36,14
37,0
38,10
39,10
40,0
41,14
42,14
43,10
44,14
45,10
46,14
47,14
48,10
49,14
50,10
51,14
52,10
53,10
54,0
55,10
56,10
57,10
58,14
59,10
60,10
61,10
62,14
63,14
64,14
65,14
66,14
67,10
68,14
69,10
70,10
71,10
72,10
73,10
74,10
75,10
76,10
77,10
78,10
79,10
80,0
81,10
82,14
83,10
84,14
85,10
86,14
87,10
88,14
89,10
90,10
91,10
92,0
93,10
94,14
95,14
96,10
97,10
98,10
99,10
100,10
101,10
102,10
103,10
104,7
105,14
106,10
107,10
108,10
109,14
110,10
111,10
112,10
113,10
114,14
115,10
116,14
117,10
118,14
119,10
120,10
121,10
122,0
123,14
124,10
125,10
126,14
127,10
128,10
129,14
130,14
131,10
132,10
133,10
134,14
135,10
136,14
137,14
138,7
139,10
140,10
141,10
142,10
143,10
144,10
145,10
146,14
147,10
148,10
149,10
150,10
151,14
152,10
153,10
154,10
155,10
156,10
157,10
158,10
159,10
160,14
161,10
162,10
163,14
164,14
165,7
166,10
167,10
168,14
169,14
170,14
171,14
172,10
173,10
174,10
175,10
176,10
177,10
178,10
179,10
180,14
181,10
182,10
183,10
184,0
185,14
186,10
187,14
188,14
189,10
190,0
191,14
192,10
193,10
194,10
195,0
196,14
197,0
198,10
199,14
200,14
201,14
202,10
203,10
204,10
205,14
206,14
207,10
208,10
209,10
210,10
211,10
212,10
213,10
214,14
215,10
216,14
217,10
218,10
219,14
220,10
221,14
222,10
223,10
224,0
225,10
226,10
227,10
228,10
229,14
230,14
231,10
232,10
233,10
234,10
235,0
236,10
237,10
238,14
239,10
240,14
241,10
242,0
243,14
244,10
245,10
246,10
247,14
248,10
249,14
250,14
251,14
252,14
253,10
254,10
255,10
256,10
257,10
258,10
259,10
260,14
261,10
262,14
263,10
264,14
265,10
266,10
267,10
268,0
269,10
270,14
271,10
272,10
273,10
274,10
275,7
276,14
277,10
278,10
279,0
280,10
281,14
282,14
283,14
284,10
285,10
286,10
287,14
288,10
289,14
290,10
291,10
292,10
293,10
294,14
295,0
296,14
297,14
298,10
299,10
300,10
301,0
302,14
303,14
304,14
305,10
306,10
307,14
308,10
309,10
310,10
311,10
312,14
313,10
314,10
315,10
316,10
317,10
318,10
319,14
320,10
321,10
322,14
323,10
324,10
325,10
326,14
327,10
328,14
329,10
330,10
331,10
332,10
333,0
334,10
335,10
336,0
337,10
338,14
339,0
340,10
341,10
342,7
343,10
344,14
345,10
346,14
347,0
348,0
349,14
350,10
351,10
352,10
353,10
354,14
355,10
356,14
357,10
358,14
359,10
360,10
361,10
362,14
363,0
364,14
365,14
366,10
367,14
368,10
369,14
370,10
371,14
372,10
373,10
374,7
375,14
376,0
377,10
378,10
379,10
380,14
381,10
382,10
383,14
384,10
385,10
386,10
387,10
388,10
389,14
390,10
391,14
392,14
393,0
394,14
395,14
396,10
397,10
398,14
399,10
400,14
401,14
402,10
403,10
404,10
405,10
406,14
407,10
408,10
409,10
410,10
411,10
412,10
413,10
414,0
415,14
416,10
417,7
418,14
419,10
420,10
421,10
422,0
423,7
424,10
425,10
426,10
427,14
428,14
429,10
430,10
431,14
432,14
