ID,Predicted Value
1,11
2,11
3,0
4,7
5,7
6,11
7,11
8,3
9,11
10,11
11,3
12,11
13,11
14,3
15,3
16,11
17,11
18,11
19,11
20,11
21,11
22,11
23,11
24,11
25,0
26,11
27,0
28,3
29,11
30,11
31,3
32,7
33,11
34,11
35,11
36,11
37,7
38,3
39,11
40,14
41,11
42,3
43,11
44,11
45,3
46,10
47,3
48,11
49,11
50,11
51,11
52,11
53,11
54,11
55,7
56,11
57,7
58,14
59,11
60,11
61,3
62,11
63,11
64,3
65,11
66,3
67,7
68,3
69,0
70,11
71,11
72,3
73,11
74,11
75,11
76,7
77,7
78,11
79,3
80,11
81,3
82,3
83,3
84,11
85,11
86,3
87,11
88,11
89,3
90,11
91,11
92,11
93,7
94,7
95,0
96,11
97,7
98,11
99,11
100,11
101,11
102,7
103,11
104,11
105,7
106,11
107,3
108,11
109,0
110,11
111,7
112,11
113,11
114,3
115,11
116,7
117,7
118,0
119,0
120,14
121,11
122,7
123,11
124,11
125,7
126,0
127,3
128,7
129,3
130,0
131,11
132,3
133,11
134,11
135,7
136,3
137,0
138,7
139,11
140,11
141,3
142,7
143,7
144,11
145,14
146,11
147,0
148,0
149,11
150,3
151,11
152,11
153,0
154,11
155,11
156,11
157,11
158,7
159,11
160,7
161,7
162,11
163,11
164,11
165,11
166,3
167,7
168,11
169,3
170,3
171,11
172,3
173,3
174,11
175,3
176,3
177,3
178,11
179,11
180,11
181,11
182,11
183,11
184,11
185,3
186,11
187,11
188,7
189,11
190,11
191,3
192,0
193,11
194,7
195,11
196,11
197,11
198,0
199,11
200,11
201,7
202,11
203,3
204,11
205,3
206,11
207,11
208,3
209,11
210,7
211,0
212,3
213,3
214,3
215,3
216,11
217,11
218,7
219,3
220,3
221,11
222,7
223,11
224,11
225,7
226,11
227,0
228,11
229,3
230,3
231,11
232,3
233,0
234,11
235,11
236,11
237,11
238,11
239,11
240,11
241,3
242,11
243,11
244,11
245,11
246,11
247,11
248,3
249,11
250,11
251,3
252,14
253,11
254,7
255,11
256,11
257,7
258,7
259,7
260,3
261,11
262,11
263,11
264,11
265,11
266,11
267,3
268,7
269,11
270,11
271,7
272,11
273,7
274,3
275,11
276,3
277,0
278,7
279,0
280,11
281,11
282,11
283,0
284,7
285,11
286,0
287,3
288,11
289,11
290,3
291,3
292,11
293,7
294,11
295,0
296,3
297,3
298,11
299,11
300,0
301,7
302,0
303,3
304,11
305,3
306,11
307,11
308,11
309,11
310,11
311,7
312,11
313,10
314,3
315,11
316,14
317,11
318,11
319,7
320,7
321,11
322,11
323,7
324,3
325,11
326,11
327,11
328,7
329,11
330,11
331,3
332,11
333,11
334,7
335,3
336,11
337,11
338,0
339,3
340,0
341,11
342,7
343,11
344,11
345,7
346,11
347,11
348,11
349,7
350,0
351,7
352,11
353,3
354,3
355,11
356,7
357,11
358,3
359,11
360,7
361,11
362,3
363,11
364,7
365,3
366,7
367,11
368,11
369,3
370,0
371,11
372,3
373,11
374,7
375,11
376,11
377,3
378,7
379,11
380,3
381,3
382,11
383,7
384,3
385,11
386,3
387,11
388,7
389,11
390,3
391,3
392,3
393,3
394,7
395,11
396,3
397,7
398,11
399,11
400,3
401,7
402,3
403,11
404,3
405,3
406,3
407,11
408,3
409,11
410,11
411,11
412,11
413,11
414,11
415,11
416,11
417,7
418,3
419,11
420,11
421,11
422,11
423,11
424,11
425,11
426,0
427,0
428,11
429,7
430,11
431,7
432,7
433,3
434,11
435,3
436,0
437,0
438,3
439,7
440,11
441,0
442,7
443,7
444,3
445,11
446,7
447,3
448,11
449,7
450,11
451,11
452,11
453,11
454,3
455,3
456,11
457,0
458,3
459,0
460,11
461,11
462,7
463,3
464,11
465,3
466,3
467,10
468,11
469,7
470,11
471,0
472,11
473,3
474,11
475,11
476,11
477,11
478,11
479,11
480,3
481,3
482,7
483,3
484,11
485,11
486,11
487,3
488,7
489,3
490,11
491,0
492,11
493,11
494,3
495,11
496,11
497,11
498,0
499,3
500,7
501,11
502,11
503,7
504,3
505,11
506,11
507,11
508,7
509,7
510,7
511,0
512,11
513,11
514,7
